Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
NVDA,AVGO,60,0.3101,5.4917,17
NVDA,TSM,140,2.5165,32.2069,16
NVDA,QCOM,58,-1.098,-4.2387,10
NVDA,ASML,55,1.463,44.2484,32
NVDA,TXN,55,0.4254,8.5994,11
NVDA,MU,57,0.4498,3.7953,6
AVGO,TSM,78,2.9673,55.5376,24
AVGO,AMD,55,1.6449,33.7532,14
TSM,QCOM,75,0.466,4.2094,13
TSM,INTC,65,-0.7086,-21.6284,10
TSM,ASML,73,-0.6949,-5.8666,8
TSM,ADI,62,-0.9531,-5.1893,6
QCOM,ASML,115,-0.3748,-3.9712,6
QCOM,MU,152,-0.5446,-4.7855,8
QCOM,ADI,65,1.8167,24.2623,22
MU,ADI,173,0.7836,6.469,7
