Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
APP,TTD,67,-1.194,-3.6561,6
APP,PUBM,75,-0.4379,-3.3637,16
APP,MGNI,55,1.6263,40.0877,11
APP,ZETA,98,0.0028,-0.5505,8
APP,ROKU,75,-0.4828,-6.8221,18
APP,U,67,-0.2557,-3.4137,10
APP,SNAP,55,-1.2495,-9.1551,12
APP,CRM,128,-1.3087,-9.22,16
TTD,BILI,90,-1.1756,-1.0645,2
TTD,SNAP,82,-0.9562,-3.1271,6
TTD,GOOG,72,0.7174,6.9839,16
TTD,CRM,125,1.4009,14.5574,6
PUBM,PERI,63,0.0113,-0.0508,14
PUBM,ZETA,88,0.4092,2.5037,8
PUBM,U,85,-0.1566,-2.0573,10
PUBM,META,62,-0.0608,-0.3061,12
PUBM,CRM,70,0.1234,0.8145,16
MGNI,PERI,157,-0.8354,-9.3125,10
PERI,ZETA,90,-1.2825,-3.7216,6
PERI,ROKU,60,0.214,1.3511,10
PERI,META,138,1.0972,4.3583,2
PERI,GOOG,125,0.4991,4.1257,14
PERI,CRM,177,1.2873,19.8055,18
ZETA,ROKU,55,-0.1737,-2.5502,14
ZETA,U,55,1.1936,41.0647,10
ZETA,BILI,68,0.5174,8.4892,14
ZETA,META,102,-1.862,-13.1201,14
ZETA,SNAP,110,-0.6904,-2.2565,4
ZETA,GOOG,85,-0.1979,-1.7738,8
ZETA,CRM,80,-1.5869,-20.5955,14
ROKU,U,102,0.2797,2.8228,16
ROKU,META,85,0.175,1.5127,26
ROKU,SNAP,55,0.2334,2.7606,10
ROKU,CRM,75,0.9346,10.0246,8
U,GOOG,100,0.0,0.0,0
BILI,META,125,-0.3579,-5.0912,12
BILI,GOOG,70,-0.7299,-9.9757,16
META,SNAP,63,-0.2519,-2.0953,11
SNAP,GOOG,62,1.4143,13.5309,9
SNAP,CRM,67,-0.8187,-25.0127,27
GOOG,CRM,78,-0.6241,-3.8043,18
