Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
REGN,BIIB,67,-0.7583,-3.4815,12
REGN,RARE,122,-0.5114,-2.6527,6
REGN,NTLA,63,0.9741,6.826,16
REGN,SRPT,87,0.8953,2.3633,2
VRTX,BIIB,82,1.0833,8.0892,16
VRTX,ALNY,88,0.8267,4.4975,8
VRTX,RARE,65,-0.2302,-1.1949,4
VRTX,CRSP,113,0.4668,3.0314,8
VRTX,NTLA,85,1.1244,7.9222,16
VRTX,SRPT,83,1.0767,9.4396,12
VRTX,BLUE,62,0.0918,0.3435,8
BIIB,RARE,105,-0.8568,-4.4663,12
BIIB,NTLA,132,0.4305,2.9409,12
ALNY,RARE,140,-1.4439,-5.6356,6
ALNY,CRSP,115,0.7624,11.3857,10
ALNY,NTLA,123,-0.837,-11.8577,12
ALNY,SRPT,72,0.1969,2.0543,10
ALNY,BLUE,87,0.266,3.0943,14
ALNY,XBI,118,-1.0073,-11.5004,6
RARE,CRSP,115,2.4553,23.0432,14
RARE,NTLA,137,-0.2329,-2.2084,12
RARE,XBI,57,0.8233,3.6943,20
NTLA,SRPT,93,-0.3787,-7.3857,8
NTLA,BLUE,90,2.2031,24.8861,16
SRPT,BLUE,115,0.6499,20.4411,15
