Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
ADBE,MDB,65,-1.2611,-8.9299,16
ADBE,NET,65,-1.712,-6.9661,9
ADBE,ZS,63,0.8849,9.4204,12
ADBE,PANW,63,0.2201,0.7375,14
ADSK,PANW,148,-1.4832,-3.2842,4
ADSK,DOCU,58,-0.9895,-4.5573,9
NOW,NET,62,-0.5724,-3.3484,8
NOW,CRWD,113,-1.248,-0.8348,2
NOW,HUBS,108,-1.4483,-1.8333,2
NOW,DOCU,95,0.918,13.4337,19
TEAM,CRWD,75,0.0995,0.4768,10
TEAM,HUBS,172,-0.5939,-1.9065,6
SNOW,MDB,75,-0.4279,-2.5437,12
SNOW,PANW,55,-1.1846,-23.1627,16
SNOW,HUBS,57,-1.0762,-9.8768,22
SNOW,DOCU,75,0.2821,1.3121,12
SNOW,WDAY,57,0.2341,1.3241,10
MDB,DOCU,95,1.6544,10.0425,6
MDB,WDAY,80,0.3993,1.6599,13
DDOG,NET,80,-0.5989,-5.631,26
DDOG,ZS,62,-0.8775,-6.9897,10
DDOG,PANW,57,-1.1693,-4.307,12
DDOG,OKTA,55,0.0907,0.3019,12
DDOG,DOCU,60,-0.6544,-3.7107,12
DDOG,WDAY,70,0.5756,4.5339,15
NET,ZS,55,-1.1064,-7.788,18
NET,CRWD,65,-0.1553,-1.2789,10
NET,PANW,62,-1.1054,-5.5312,16
NET,DOCU,63,0.7032,3.7935,8
ZS,PANW,135,-0.4062,-1.3775,10
ZS,HUBS,130,-0.3243,-1.4708,4
CRWD,HUBS,60,-1.033,-7.7482,26
CRWD,DOCU,95,-1.1412,-6.9755,8
PANW,DOCU,65,-1.4629,-6.3219,8
PANW,WDAY,123,-0.516,-2.2281,8
OKTA,DOCU,62,-1.0374,-13.4897,11
DOCU,WDAY,115,0.409,1.74,6
