Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
XOM,EQT,82,-0.4457,-2.0457,6
XOM,SO,98,-0.3221,-1.4789,8
CVX,DUK,135,0.2427,1.5965,6
CVX,SO,73,0.6037,5.3531,7
CVX,AEP,67,-0.4389,-3.9569,8
CVX,EXC,70,1.0759,3.2978,12
CVX,EIX,67,-0.982,-2.0314,10
CVX,XEL,118,-1.0536,-6.7705,10
OXY,NEE,72,-0.8769,-8.1798,18
OXY,DUK,55,-1.3718,-2.0344,8
OXY,SO,120,-0.8143,-2.0534,4
OXY,EXC,55,1.4074,18.5021,6
OXY,XEL,165,2.3523,32.031,23
LNG,EQT,145,-0.5541,-1.7679,4
LNG,NEE,150,1.1673,13.2734,12
LNG,DUK,65,-0.9864,-4.705,11
LNG,SO,60,0.338,2.0532,21
LNG,AEP,57,-0.3597,-1.9124,13
LNG,CEG,55,0.613,4.2749,13
EQT,NEE,135,-0.7553,-4.8037,8
NEE,EXC,63,0.788,6.8771,16
NEE,EIX,98,0.9401,1.2815,4
NEE,CEG,65,0.2098,1.0681,14
DUK,SO,113,0.1891,0.3163,11
DUK,AEP,165,-1.3104,-2.9237,10
DUK,EIX,97,-0.3669,-0.9667,10
SO,EIX,77,-0.6197,-1.3813,5
AEP,EIX,105,-1.184,-0.8445,2
EXC,XEL,80,-2.2001,-1.6197,8
XEL,CEG,65,0.4953,2.4585,18
