Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
PFE,BMY,68,0.1992,1.0107,14
PFE,LLY,83,-1.0188,-5.0749,16
PFE,AMGN,123,-0.4771,-1.921,12
PFE,TMO,97,1.6316,3.666,6
MRK,BMY,100,1.0864,10.0852,18
MRK,ABBV,70,-0.3577,-2.5572,17
MRK,JNJ,77,1.0231,2.6409,14
MRK,LLY,62,-0.7495,-7.3296,11
MRK,AMGN,72,-1.4684,-4.219,6
MRK,GILD,108,1.4943,20.8939,12
MRK,ABT,83,-0.3518,-2.7193,15
MRK,TMO,60,0.7111,3.2095,16
BMY,JNJ,65,-0.2809,-1.1523,10
BMY,LLY,78,-0.3681,-3.3949,12
BMY,AMGN,65,-0.055,-0.4188,12
BMY,GILD,92,-0.977,-3.5291,2
BMY,ABT,100,0.8433,1.4612,6
BMY,SYK,58,-0.1692,-1.5039,19
BMY,ISRG,82,-0.547,-3.3057,6
BMY,DXCM,82,0.82,3.726,8
ABBV,JNJ,145,1.4807,10.1911,13
ABBV,LLY,55,0.7214,3.6373,16
ABBV,AMGN,88,0.9245,3.1774,4
ABBV,GILD,58,0.3579,2.1166,14
ABBV,DXCM,93,1.4252,20.7155,15
JNJ,AMGN,83,-0.4587,-1.2197,7
JNJ,GILD,82,0.5862,2.501,5
LLY,AMGN,170,-0.3785,-2.1226,12
LLY,GILD,67,-1.1835,-6.3921,6
LLY,MDT,58,-0.5593,-3.6729,11
LLY,ISRG,55,0.5788,5.329,24
LLY,DXCM,55,-1.0467,-6.0739,10
GILD,ISRG,97,0.0,0.0,0
ABT,SYK,62,0.1707,0.9655,10
ABT,ISRG,70,-0.1188,-1.1894,12
ABT,DXCM,55,-0.6861,-2.0017,13
TMO,ISRG,65,-1.6517,-11.7575,12
ISRG,DXCM,92,1.2734,22.3494,32
