Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
CSCO,JNPR,90,-0.7154,-3.3901,8
CSCO,ANET,95,0.8636,6.8904,3
CSCO,NTAP,93,0.8331,6.7216,5
CSCO,FFIV,107,0.0134,-0.5019,13
CSCO,CIEN,82,0.7176,2.2211,8
CSCO,EXTR,78,-0.6525,-1.7777,4
CSCO,LUMN,55,-0.2024,-12.674,8
CSCO,DELL,85,0.6915,4.0041,14
ANET,HPE,125,-1.2738,-53.5329,8
ANET,CIEN,95,-0.8777,-9.6525,13
ANET,DELL,58,1.0948,44.2037,17
NTAP,CIEN,60,-1.4214,-17.5318,8
FFIV,HPE,65,-0.1996,-11.4581,10
FFIV,DELL,58,-0.6998,-10.0247,22
FFIV,BOX,55,-0.4716,-71.1367,19
HPE,CIEN,72,0.9504,7.3073,9
CIEN,DELL,73,-0.4801,-11.8697,16
EXTR,LUMN,67,-1.1469,-69.2775,14
