Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
NVDA,TSM,158,0.7289,3.9001,22
NVDA,ASML,55,1.414,36.4925,36
NVDA,AVGO,60,0.2877,4.8231,17
NVDA,AMD,95,0.2621,3.3398,10
NVDA,QCOM,58,-0.4706,-1.8262,17
NVDA,TXN,58,0.7108,12.4287,15
NVDA,LRCX,75,0.6124,11.89,9
TSM,ASML,73,-1.7181,-4.6332,10
TSM,AVGO,93,-0.7008,-6.3855,24
TSM,AMD,63,-0.7565,-7.8,18
TSM,QCOM,75,-0.1687,-1.0006,13
TSM,ADI,62,-1.0495,-2.7165,3
TSM,INTC,63,-0.105,-1.1185,10
TSM,AMAT,80,-2.4572,-16.51,23
ASML,AVGO,108,-0.2959,-2.5208,10
ASML,AMD,55,0.2776,2.7225,17
ASML,ADI,58,-0.236,-0.2424,9
ASML,INTC,58,0.338,2.4566,14
ASML,TXN,82,0.8256,6.8885,6
ASML,LRCX,102,1.5508,3.8016,6
AVGO,AMD,55,-0.2677,-3.0008,16
AVGO,AMAT,60,1.0058,3.4408,8
QCOM,ADI,62,-0.9931,-6.8785,21
QCOM,AMAT,107,0.8132,4.3624,9
ADI,INTC,85,-0.371,-1.6089,6
ADI,AMAT,55,0.6589,4.1528,16
ADI,LRCX,55,-0.6442,-5.2602,24
